,index,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
0,0,14-Oct-2016,10239.2,10442.0,10116.7,10228.65,33012040,3224.22
1,1,17-Oct-2016,10268.65,10270.25,10140.55,10158.75,13343414,1100.25
2,2,18-Oct-2016,10202.55,10397.15,10191.65,10377.15,18378306,1222.48
3,3,19-Oct-2016,10397.3,10433.75,10338.15,10411.1,16981044,1096.03
4,4,20-Oct-2016,10431.5,10464.2,10357.5,10372.95,14202020,844.89
5,5,21-Oct-2016,10408.65,10483.45,10376.95,10477.1,17804005,1207.49
6,6,24-Oct-2016,10445.35,10448.0,10317.4,10327.65,14554645,917.56
7,7,25-Oct-2016,10322.7,10331.85,10254.05,10261.4,14983936,1076.83
8,8,26-Oct-2016,10253.4,10254.55,10128.6,10157.35,11263723,802.43
9,9,27-Oct-2016,10130.8,10130.8,10027.25,10052.85,18671691,1503.07
10,10,28-Oct-2016,10088.05,10119.25,10032.5,10048.4,24655817,1592.9
11,11,30-Oct-2016,10086.6,10111.45,10073.85,10082.7,1431970,98.13
12,12,01-Nov-2016,10109.2,10109.2,9969.8,9990.6,13418188,1119.6
13,13,02-Nov-2016,9903.8,9933.55,9861.15,9871.25,12161987,965.93
14,14,03-Nov-2016,9868.35,9886.65,9793.85,9809.75,10977148,834.92
15,15,04-Nov-2016,9813.45,9940.1,9736.75,9924.05,18414597,1205.33
16,16,07-Nov-2016,9997.1,10034.15,9920.95,9970.0,16797953,1205.28
17,17,08-Nov-2016,9996.2,10045.5,9891.0,10008.4,14174311,1002.3
18,18,09-Nov-2016,9467.65,9826.35,9320.95,9683.25,21456312,1752.93
19,19,10-Nov-2016,9803.2,9813.15,9636.15,9654.75,13296041,1061.1
20,20,11-Nov-2016,9615.85,9633.3,9391.55,9434.6,13296849,1083.89
21,21,15-Nov-2016,9478.5,9565.85,9295.25,9487.0,27234569,2093.69
22,22,16-Nov-2016,9559.15,9724.7,9543.2,9641.0,23586542,1793.51
23,23,17-Nov-2016,9608.95,9678.75,9476.1,9496.2,12929942,1013.99
24,24,18-Nov-2016,9497.8,9560.9,9419.6,9476.45,10571616,851.64
25,25,21-Nov-2016,9500.0,9553.7,9430.4,9453.75,12187155,918.52
26,26,22-Nov-2016,9492.35,9566.7,9471.2,9509.45,10320661,729.6
27,27,23-Nov-2016,9559.1,9571.55,9484.45,9549.85,11234249,863.09
28,28,24-Nov-2016,9561.4,9726.5,9518.9,9656.25,18981651,1659.09
29,29,25-Nov-2016,9709.15,10140.65,9696.65,10114.9,21789062,2030.86
30,30,28-Nov-2016,10126.7,10171.8,10001.5,10106.2,12490536,1063.28
31,31,29-Nov-2016,10099.65,10149.8,10043.2,10059.6,9368688,770.16
32,32,30-Nov-2016,10086.55,10139.95,10011.45,10087.65,14229629,1285.79
33,33,01-Dec-2016,10090.0,10108.8,10002.4,10049.75,9518941,748.71
34,34,02-Dec-2016,10018.15,10061.2,9898.9,9922.75,9513403,842.57
35,35,05-Dec-2016,9908.3,9946.9,9778.95,9836.0,8242545,749.7
36,36,06-Dec-2016,9850.9,9946.75,9808.35,9834.95,7018872,646.8
37,37,07-Dec-2016,9865.65,9871.7,9764.2,9777.9,8046891,722.42
38,38,08-Dec-2016,9819.9,9947.4,9819.65,9935.9,9564747,945.64
39,39,09-Dec-2016,9961.95,10059.95,9925.85,9997.5,12004522,1031.46
40,40,12-Dec-2016,9960.3,9971.25,9846.2,9953.9,8348374,818.79
41,41,13-Dec-2016,9983.7,10082.15,9929.85,10058.65,10363616,887.47
42,42,14-Dec-2016,10091.55,10150.95,10044.15,10128.95,11850616,929.55
43,43,15-Dec-2016,10099.05,10299.8,10091.6,10195.75,16986840,1494.02
44,44,16-Dec-2016,10265.65,10268.7,10188.25,10222.95,10931162,927.61
45,45,19-Dec-2016,10213.45,10234.05,10153.8,10223.65,7460302,635.93
46,46,20-Dec-2016,10239.85,10352.65,10224.45,10322.85,11510080,1100.56
47,47,21-Dec-2016,10357.3,10357.3,10207.25,10228.25,9569302,878.26
48,48,22-Dec-2016,10210.25,10251.2,10084.25,10163.0,9432930,865.34
49,49,23-Dec-2016,10162.4,10187.25,10048.85,10071.05,9770830,837.99
50,50,26-Dec-2016,10028.9,10065.75,9979.6,10023.3,5510950,444.6
51,51,27-Dec-2016,9997.0,10188.65,9994.95,10170.7,7812402,646.58
52,52,28-Dec-2016,10203.85,10301.1,10177.4,10198.6,10320156,810.25
53,53,29-Dec-2016,10194.15,10314.35,10183.4,10291.85,13889741,1097.08
54,54,30-Dec-2016,10325.35,10416.6,10304.65,10399.25,9966961,862.4
55,55,02-Jan-2017,10403.0,10434.1,10353.65,10367.05,5366213,418.84
56,56,03-Jan-2017,10386.6,10390.9,10291.25,10362.25,8413396,745.85
57,57,04-Jan-2017,10368.15,10517.55,10364.0,10496.9,11978446,1004.99
58,58,05-Jan-2017,10539.75,10590.05,10379.3,10400.05,23534557,1569.58
59,59,06-Jan-2017,10352.8,10372.9,10063.35,10110.4,26296599,1935.41
60,60,09-Jan-2017,10070.65,10214.2,10023.65,10198.45,17060520,1250.98
61,61,10-Jan-2017,10232.55,10255.85,10184.35,10221.5,13114211,1116.94
62,62,11-Jan-2017,10238.05,10282.2,10154.5,10220.55,14041555,1186.47
63,63,12-Jan-2017,10237.45,10410.8,10236.0,10398.8,14364865,1296.4
64,64,13-Jan-2017,10504.05,10551.4,10217.45,10263.5,29658962,3228.05
65,65,16-Jan-2017,10223.05,10223.05,10137.0,10173.1,13731359,1292.47
