,index,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
0,0,14-Oct-2016,2660.15,2666.55,2634.6,2643.5,37698196,760.92
1,1,17-Oct-2016,2643.1,2658.85,2605.0,2611.1,44500744,974.04
2,2,18-Oct-2016,2626.35,2666.85,2625.8,2663.1,50331764,1082.52
3,3,19-Oct-2016,2671.35,2683.9,2655.9,2669.65,49119184,1000.39
4,4,20-Oct-2016,2686.3,2717.1,2682.3,2708.5,59900347,1193.84
5,5,21-Oct-2016,2705.75,2706.8,2667.35,2688.05,41026560,835.67
6,6,24-Oct-2016,2689.75,2701.95,2683.85,2690.8,35000231,725.07
7,7,25-Oct-2016,2677.05,2688.0,2655.15,2679.5,58143414,1120.77
8,8,26-Oct-2016,2668.65,2697.05,2628.05,2641.15,56278636,1056.21
9,9,27-Oct-2016,2625.6,2635.85,2606.8,2619.6,63008710,1633.67
10,10,28-Oct-2016,2630.15,2682.8,2628.05,2678.35,59801586,1182.6
11,11,30-Oct-2016,2689.75,2694.1,2673.65,2681.05,7817017,131.99
12,12,01-Nov-2016,2692.15,2796.7,2683.65,2781.0,112647948,2244.67
13,13,02-Nov-2016,2738.25,2771.6,2726.65,2756.75,77697928,1585.15
14,14,03-Nov-2016,2745.9,2811.75,2733.35,2737.95,90761263,1679.91
15,15,04-Nov-2016,2745.0,2758.85,2644.7,2674.75,68827767,1270.95
16,16,07-Nov-2016,2714.65,2743.3,2704.4,2728.3,49221220,964.17
17,17,08-Nov-2016,2744.95,2762.65,2723.5,2739.2,58987216,1147.26
18,18,09-Nov-2016,2538.7,2710.95,2508.55,2700.55,83949173,1432.2
19,19,10-Nov-2016,2763.15,2891.25,2761.65,2870.05,98387667,2007.4
20,20,11-Nov-2016,2838.1,2856.85,2802.15,2810.65,72266013,1487.04
21,21,15-Nov-2016,2786.55,2812.9,2659.25,2668.1,92354425,1825.91
22,22,16-Nov-2016,2715.3,2718.75,2621.3,2645.65,63629614,1206.32
23,23,17-Nov-2016,2648.25,2699.2,2640.25,2662.95,60695790,1196.81
24,24,18-Nov-2016,2663.8,2679.9,2610.25,2626.0,46468556,931.28
25,25,21-Nov-2016,2633.2,2659.45,2532.1,2536.2,64461667,1189.42
26,26,22-Nov-2016,2562.4,2615.65,2560.4,2610.7,52236745,954.08
27,27,23-Nov-2016,2640.05,2683.9,2627.65,2677.5,62095849,1189.05
28,28,24-Nov-2016,2667.85,2731.05,2654.2,2711.3,88808745,1955.05
29,29,25-Nov-2016,2732.7,2776.85,2729.35,2757.45,71727284,1412.9
30,30,28-Nov-2016,2762.0,2792.3,2746.0,2784.6,63025856,1215.62
31,31,29-Nov-2016,2805.3,2822.4,2771.85,2777.0,53514741,1175.98
32,32,30-Nov-2016,2775.35,2805.5,2748.8,2798.9,65514404,1299.6
33,33,01-Dec-2016,2813.95,2814.5,2741.55,2748.8,41639351,823.61
34,34,02-Dec-2016,2732.1,2767.5,2711.25,2717.6,42490607,876.15
35,35,05-Dec-2016,2723.25,2765.9,2713.85,2758.65,44105221,884.01
36,36,06-Dec-2016,2773.8,2790.5,2761.4,2781.45,48531877,877.24
37,37,07-Dec-2016,2792.05,2802.35,2761.25,2786.65,60731475,971.72
38,38,08-Dec-2016,2819.55,2876.7,2815.75,2868.8,80844751,1514.22
39,39,09-Dec-2016,2877.65,2879.5,2854.0,2865.25,67403926,1084.72
40,40,12-Dec-2016,2859.35,2877.8,2852.95,2857.85,53355596,881.77
41,41,13-Dec-2016,2858.2,2862.95,2813.55,2827.5,55477899,1108.14
42,42,14-Dec-2016,2815.25,2825.9,2781.2,2784.75,53696560,1040.41
43,43,15-Dec-2016,2753.95,2818.45,2749.2,2786.1,46528913,898.77
44,44,16-Dec-2016,2801.6,2804.4,2739.15,2742.8,46072268,945.91
45,45,19-Dec-2016,2733.65,2748.55,2712.5,2716.1,32842795,656.95
46,46,20-Dec-2016,2721.1,2730.5,2679.2,2693.5,33053316,699.15
47,47,21-Dec-2016,2705.9,2725.0,2688.7,2707.8,33911553,682.21
48,48,22-Dec-2016,2702.55,2702.95,2622.5,2630.5,43752837,814.71
49,49,23-Dec-2016,2628.0,2641.9,2598.65,2623.1,44035112,852.31
