,index,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
0,0,14-Oct-2016,-,-,-,3717.7,-,-
1,1,17-Oct-2016,-,-,-,3690.66,-,-
2,2,18-Oct-2016,-,-,-,3712.07,-,-
3,3,19-Oct-2016,-,-,-,3736.45,-,-
4,4,20-Oct-2016,-,-,-,3739.98,-,-
5,5,21-Oct-2016,-,-,-,3724.12,-,-
6,6,24-Oct-2016,-,-,-,3776.29,-,-
7,7,25-Oct-2016,-,-,-,3762.0,-,-
8,8,26-Oct-2016,-,-,-,3740.62,-,-
9,9,27-Oct-2016,-,-,-,3715.2,-,-
10,10,28-Oct-2016,-,-,-,3733.05,-,-
11,11,30-Oct-2016,-,-,-,3734.46,-,-
12,12,01-Nov-2016,-,-,-,3737.87,-,-
13,13,02-Nov-2016,-,-,-,3633.58,-,-
14,14,03-Nov-2016,-,-,-,3577.16,-,-
15,15,04-Nov-2016,-,-,-,3550.09,-,-
16,16,07-Nov-2016,-,-,-,3572.71,-,-
17,17,08-Nov-2016,-,-,-,3601.69,-,-
18,18,09-Nov-2016,-,-,-,3600.8,-,-
19,19,10-Nov-2016,-,-,-,3651.65,-,-
20,20,11-Nov-2016,-,-,-,3579.96,-,-
21,21,15-Nov-2016,-,-,-,3515.98,-,-
22,22,16-Nov-2016,-,-,-,3500.15,-,-
23,23,17-Nov-2016,-,-,-,3504.26,-,-
24,24,18-Nov-2016,-,-,-,3550.6,-,-
25,25,21-Nov-2016,-,-,-,3514.44,-,-
26,26,22-Nov-2016,-,-,-,3550.45,-,-
27,27,23-Nov-2016,-,-,-,3563.43,-,-
28,28,24-Nov-2016,-,-,-,3522.52,-,-
29,29,25-Nov-2016,-,-,-,3553.6,-,-
30,30,28-Nov-2016,-,-,-,3585.59,-,-
31,31,29-Nov-2016,-,-,-,3593.14,-,-
32,32,30-Nov-2016,-,-,-,3612.55,-,-
33,33,01-Dec-2016,-,-,-,3592.58,-,-
34,34,02-Dec-2016,-,-,-,3554.59,-,-
35,35,05-Dec-2016,-,-,-,3553.14,-,-
36,36,06-Dec-2016,-,-,-,3594.62,-,-
37,37,07-Dec-2016,-,-,-,3611.66,-,-
38,38,08-Dec-2016,-,-,-,3664.28,-,-
39,39,09-Dec-2016,-,-,-,3677.36,-,-
40,40,12-Dec-2016,-,-,-,3642.35,-,-
41,41,13-Dec-2016,-,-,-,3672.53,-,-
42,42,14-Dec-2016,-,-,-,3665.42,-,-
43,43,15-Dec-2016,-,-,-,3658.0,-,-
44,44,16-Dec-2016,-,-,-,3637.12,-,-
45,45,19-Dec-2016,-,-,-,3662.35,-,-
46,46,20-Dec-2016,-,-,-,3638.58,-,-
47,47,21-Dec-2016,-,-,-,3654.14,-,-
48,48,22-Dec-2016,-,-,-,3605.06,-,-
49,49,23-Dec-2016,-,-,-,3616.22,-,-
50,50,26-Dec-2016,-,-,-,3563.21,-,-
51,51,27-Dec-2016,-,-,-,3620.59,-,-
52,52,28-Dec-2016,-,-,-,3605.62,-,-
53,53,29-Dec-2016,-,-,-,3664.76,-,-
54,54,30-Dec-2016,-,-,-,3703.29,-,-
55,55,02-Jan-2017,-,-,-,3723.2,-,-
56,56,03-Jan-2017,-,-,-,3778.44,-,-
57,57,04-Jan-2017,-,-,-,3756.81,-,-
58,58,05-Jan-2017,-,-,-,3820.59,-,-
59,59,06-Jan-2017,-,-,-,3808.15,-,-
60,60,09-Jan-2017,-,-,-,3779.75,-,-
61,61,10-Jan-2017,-,-,-,3816.13,-,-
62,62,11-Jan-2017,-,-,-,3824.58,-,-
63,63,12-Jan-2017,-,-,-,3834.09,-,-
64,64,13-Jan-2017,-,-,-,3841.23,-,-
65,65,16-Jan-2017,-,-,-,3818.51,-,-
66,66,17-Jan-2017,-,-,-,3759.74,-,-
67,67,18-Jan-2017,-,-,-,3753.3,-,-
68,68,19-Jan-2017,-,-,-,3813.68,-,-
69,69,20-Jan-2017,-,-,-,3764.84,-,-
