,index,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
0,0,14-Oct-2016,19016.7,19053.5,18926.15,19020.15,61797883,1807.64
1,1,17-Oct-2016,19136.3,19241.75,19002.45,19070.4,123597409,3474.26
2,2,18-Oct-2016,19174.7,19511.8,19162.85,19495.05,104276455,3331.64
3,3,19-Oct-2016,19570.05,19576.3,19322.75,19412.1,65347496,2227.07
4,4,20-Oct-2016,19493.9,19722.85,19479.25,19658.7,97604833,3274.33
5,5,21-Oct-2016,19636.4,19744.0,19516.4,19710.9,69230448,2310.21
6,6,24-Oct-2016,19763.85,19897.85,19751.65,19807.9,77828035,2375.85
7,7,25-Oct-2016,19907.7,19922.7,19711.95,19834.9,90588204,2477.21
8,8,26-Oct-2016,19581.7,19725.9,19434.5,19483.6,143827550,4605.88
9,9,27-Oct-2016,19452.0,19544.2,19252.1,19514.6,87647894,3276.15
10,10,28-Oct-2016,19507.85,19589.7,19362.0,19555.95,68877003,2262.36
11,11,30-Oct-2016,19657.8,19666.8,19484.65,19523.55,8938951,267.09
12,12,01-Nov-2016,19578.6,19591.65,19417.3,19458.6,61792854,1992.47
13,13,02-Nov-2016,19223.5,19296.55,19158.75,19227.9,74364554,2542.39
14,14,03-Nov-2016,19201.95,19319.65,19119.3,19178.7,65915418,1907.41
15,15,04-Nov-2016,19223.85,19223.9,18961.15,19058.1,76173129,2300.58
16,16,07-Nov-2016,19317.85,19378.0,19233.0,19356.0,77290268,2148.35
17,17,08-Nov-2016,19490.75,19549.45,19322.15,19500.8,83951456,2433.93
18,18,09-Nov-2016,18270.9,19587.8,18143.7,19518.25,169946993,5102.23
19,19,10-Nov-2016,19827.5,20283.15,19787.45,20200.25,212502782,5707.96
20,20,11-Nov-2016,20033.85,20309.65,19704.35,19738.8,197925973,5329.2
21,21,15-Nov-2016,19808.35,19861.75,19240.45,19289.75,208769377,6018.37
22,22,16-Nov-2016,19591.25,19611.9,19088.4,19108.1,134590517,4172.68
23,23,17-Nov-2016,19115.9,19328.75,19009.85,19087.85,106724890,3044.75
24,24,18-Nov-2016,19180.3,19216.35,18897.1,18959.05,79393592,2272.08
25,25,21-Nov-2016,19063.8,19075.95,18351.25,18446.4,135622966,3456.39
26,26,22-Nov-2016,18626.7,18650.5,18322.7,18548.65,119912505,3357.39
27,27,23-Nov-2016,18660.55,18669.05,18449.7,18540.9,73799835,2142.47
28,28,24-Nov-2016,18476.0,18476.35,18215.8,18256.1,120482500,3662.56
29,29,25-Nov-2016,18377.55,18546.35,18266.6,18507.3,81089308,2347.44
30,30,28-Nov-2016,18237.2,18471.65,18187.4,18301.45,106884555,3041.05
31,31,29-Nov-2016,18308.8,18427.4,18188.7,18223.75,81509358,2454.4
32,32,30-Nov-2016,18306.1,18667.85,18262.5,18627.8,89135261,2853.13
33,33,01-Dec-2016,18676.75,18713.1,18389.65,18428.45,62882921,1980.14
34,34,02-Dec-2016,18329.4,18490.5,18163.8,18247.65,84312899,2455.65
35,35,05-Dec-2016,18245.0,18434.25,18189.5,18408.9,45765934,1417.16
36,36,06-Dec-2016,18459.7,18499.75,18365.95,18420.9,55031739,1519.75
37,37,07-Dec-2016,18515.5,18588.75,17952.6,18234.15,100890980,2738.11
38,38,08-Dec-2016,18342.6,18558.75,18336.95,18515.45,55661159,1715.5
39,39,09-Dec-2016,18567.95,18739.65,18432.3,18695.8,75645795,2199.26
40,40,12-Dec-2016,18616.05,18616.05,18364.05,18392.95,53579188,1551.39
41,41,13-Dec-2016,18354.1,18492.85,18291.35,18466.05,54727502,1660.6
42,42,14-Dec-2016,18480.35,18485.45,18322.9,18341.5,56292640,1882.96
43,43,15-Dec-2016,18143.5,18532.0,18122.1,18401.15,82787720,2794.29
44,44,16-Dec-2016,18417.9,18428.45,18268.3,18312.8,81868151,3056.57
45,45,19-Dec-2016,18258.1,18316.8,18215.5,18257.05,37244360,1174.33
46,46,20-Dec-2016,18264.1,18274.9,18009.8,18069.4,53850831,1649.45
47,47,21-Dec-2016,18124.6,18167.15,18043.95,18084.5,45881955,1491.46
48,48,22-Dec-2016,18027.0,18029.6,17839.75,17891.45,50280389,1521.6
49,49,23-Dec-2016,17849.25,17962.3,17819.75,17884.0,53610316,1594.4
50,50,26-Dec-2016,17825.5,17860.85,17606.9,17655.55,45887571,1309.95
51,51,27-Dec-2016,17677.7,17907.35,17616.1,17879.55,50265645,1457.14
52,52,28-Dec-2016,17929.2,18059.65,17829.15,17876.7,57498370,1692.18
53,53,29-Dec-2016,17861.45,18053.3,17829.4,18033.15,83313390,2141.23
54,54,30-Dec-2016,18026.35,18245.75,18016.8,18177.2,54349583,1546.86
55,55,02-Jan-2017,18242.3,18249.0,17844.9,17969.6,74444730,1857.24
56,56,03-Jan-2017,18002.75,18115.05,17830.95,18035.6,64513818,1769.3
57,57,04-Jan-2017,18037.45,18092.85,17868.9,17891.0,50508161,1615.85
58,58,05-Jan-2017,18000.75,18164.05,17977.8,18115.95,68874940,2271.18
59,59,06-Jan-2017,18168.45,18325.5,18157.3,18264.0,65919927,2174.59
60,60,09-Jan-2017,18314.25,18373.1,18256.15,18286.65,42677260,1404.38
