"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"05-Oct-2021","    37499.80","    37786.60","    37364.75","    37741.00","      153094965","         4372.22"
"06-Oct-2021","    37768.80","    38106.85","    37452.00","    37521.55","      204213956","         6270.47"
"07-Oct-2021","    37894.00","    37923.65","    37650.25","    37753.20","      136415691","         4753.02"
"08-Oct-2021","    37906.40","    38105.20","    37674.35","    37775.25","      168175930","         4611.89"
"11-Oct-2021","    37782.75","    38495.30","    37744.65","    38293.80","      136093225","         4785.36"
"12-Oct-2021","    38178.35","    38609.60","    38144.60","    38521.50","      201279829","         4935.67"
"13-Oct-2021","    38735.30","    38779.05","    38502.70","    38635.75","      205858894","         3921.24"
"14-Oct-2021","    38684.65","    39375.05","    38673.00","    39340.90","      249639376","         5612.83"
"18-Oct-2021","    39794.25","    39947.60","    39569.55","    39684.80","      580029143","         9484.58"
"19-Oct-2021","    39927.30","    40011.15","    39394.25","    39540.50","      274854608","         5832.63"
"20-Oct-2021","    39545.45","    39774.55","    39292.80","    39518.20","      236894524","         6136.15"
"21-Oct-2021","    39676.55","    40200.45","    39428.10","    40030.20","      271266226","         7241.93"
"22-Oct-2021","    40192.65","    40587.35","    40149.55","    40323.65","      370521433","         8427.53"
"25-Oct-2021","    40961.25","    41829.60","    40508.10","    41192.40","      476829654","        17994.24"
"26-Oct-2021","    41057.75","    41367.25","    40829.15","    41238.30","      437106559","        10330.70"
"27-Oct-2021","    41234.55","    41347.00","    40750.00","    40874.35","      322833423","        10941.19"
"28-Oct-2021","    40915.15","    40931.05","    39350.20","    39508.95","      512721476","        11302.12"
"29-Oct-2021","    39424.55","    39775.25","    38426.65","    39115.60","      341299932","         9276.25"
