"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"05-Oct-2021","    34978.40","    35650.85","    34781.60","    35544.30","       20629650","         3795.69"
"06-Oct-2021","    35689.55","    35801.50","    35003.05","    35075.80","       18524506","         3328.10"
"07-Oct-2021","    35323.60","    35903.95","    35233.30","    35703.85","       17784234","         3496.00"
"08-Oct-2021","    35920.55","    36703.55","    35786.30","    36402.00","       31048469","         5817.13"
"11-Oct-2021","    35494.40","    35690.40","    34768.95","    35179.95","       43090224","         9295.34"
"12-Oct-2021","    35179.20","    35294.15","    34512.80","    34869.75","       41082683","         7159.16"
"13-Oct-2021","    35053.70","    35324.45","    34872.40","    35285.60","       29441912","         4893.16"
"14-Oct-2021","    35921.45","    36412.45","    35571.40","    35744.80","      111659106","        17319.02"
"18-Oct-2021","    36012.00","    36400.60","    35863.40","    36306.35","       58755995","         9605.70"
"19-Oct-2021","    36841.60","    37491.85","    36720.00","    37106.35","       53751692","        12128.47"
"20-Oct-2021","    37188.15","    37463.90","    36534.50","    36846.80","       37450204","         8324.70"
"21-Oct-2021","    36988.90","    36988.90","    35624.50","    35913.60","       38320932","         8181.85"
"22-Oct-2021","    35892.65","    36297.20","    35098.20","    35394.65","       30434322","         6341.97"
"25-Oct-2021","    35467.10","    35521.05","    34529.85","    35005.40","       32116783","         5765.33"
"26-Oct-2021","    35181.70","    35699.85","    34957.75","    35162.35","       40793417","         7367.21"
"27-Oct-2021","    35245.05","    35578.00","    35163.05","    35503.90","       23636491","         4318.68"
"28-Oct-2021","    35575.65","    35575.65","    34787.10","    34913.60","       22625867","         4283.67"
"29-Oct-2021","    34820.30","    35178.75","    34288.55","    34408.75","       26861598","         5130.77"
