"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"05-Oct-2021","     5777.15","     5861.70","     5773.55","     5800.30","      217164124","         5117.98"
"06-Oct-2021","     5825.10","     5859.30","     5606.95","     5627.35","      224406886","         5480.90"
"07-Oct-2021","     5697.90","     5705.25","     5643.80","     5659.95","      109317175","         3102.86"
"08-Oct-2021","     5702.35","     5791.65","     5663.85","     5681.45","      125760099","         4344.49"
"11-Oct-2021","     5718.80","     5806.70","     5707.65","     5766.40","      133181108","         3597.25"
"12-Oct-2021","     5798.50","     5837.15","     5720.60","     5829.35","      154690094","         4160.94"
"13-Oct-2021","     5845.60","     5971.75","     5812.30","     5914.65","      238205528","         6708.04"
"14-Oct-2021","     5978.75","     6079.55","     5954.95","     6019.20","      238646602","         6703.00"
"18-Oct-2021","     6157.20","     6300.45","     6133.55","     6253.10","      489823370","        11658.69"
"19-Oct-2021","     6312.20","     6312.20","     6061.20","     6099.35","      234933753","         6487.20"
"20-Oct-2021","     6085.90","     6085.90","     5919.05","     5974.00","      170651603","         4675.76"
"21-Oct-2021","     6019.55","     6040.10","     5782.75","     5868.40","      179069222","         5308.75"
"22-Oct-2021","     5865.25","     5877.85","     5645.25","     5690.10","      171846231","         5455.27"
"25-Oct-2021","     5715.25","     5747.50","     5561.65","     5679.65","      148308574","         4036.66"
"26-Oct-2021","     5702.90","     5846.50","     5694.30","     5830.65","      139482114","         4020.01"
"27-Oct-2021","     5833.20","     5855.55","     5722.55","     5741.90","      136478204","         3922.01"
"28-Oct-2021","     5654.95","     5668.90","     5521.65","     5544.55","      234886612","         6279.98"
"29-Oct-2021","     5534.05","     5660.50","     5482.30","     5563.40","      195550618","         4860.60"
