"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"05-Oct-2021","     7847.15","     8043.25","     7837.85","     8036.00","-","-"
"05-Oct-2021","-","-","-","     8036.00","-","-"
"06-Oct-2021","     8092.50","     8161.45","     7990.65","     8017.70","-","-"
"06-Oct-2021","-","-","-","     8017.70","-","-"
"07-Oct-2021","     8097.35","     8098.85","     7980.20","     7995.80","-","-"
"07-Oct-2021","-","-","-","     7995.80","-","-"
"08-Oct-2021","     8058.10","     8090.30","     7969.55","     8060.65","-","-"
"08-Oct-2021","-","-","-","     8060.65","-","-"
"11-Oct-2021","     8110.05","     8168.60","     8080.25","     8086.55","-","-"
"11-Oct-2021","-","-","-","     8086.55","-","-"
"12-Oct-2021","     8087.70","     8111.60","     8030.50","     8100.80","-","-"
"12-Oct-2021","-","-","-","     8100.80","-","-"
"13-Oct-2021","     8127.25","     8168.55","     8087.90","     8133.25","-","-"
"13-Oct-2021","-","-","-","     8133.25","-","-"
"14-Oct-2021","     8148.80","     8195.65","     8140.70","     8155.45","-","-"
"14-Oct-2021","-","-","-","     8155.45","-","-"
"18-Oct-2021","     8237.30","     8284.75","     8203.40","     8216.85","-","-"
"18-Oct-2021","-","-","-","     8216.85","-","-"
"19-Oct-2021","     8260.05","     8266.60","     8111.70","     8129.85","-","-"
"19-Oct-2021","-","-","-","     8129.85","-","-"
"20-Oct-2021","     8143.85","     8147.35","     7959.65","     7995.90","-","-"
"20-Oct-2021","-","-","-","     7995.90","-","-"
"21-Oct-2021","     8078.25","     8084.00","     7920.60","     7959.55","-","-"
"21-Oct-2021","-","-","-","     7959.55","-","-"
"22-Oct-2021","     7986.00","     8013.15","     7890.85","     7928.10","-","-"
"22-Oct-2021","-","-","-","     7928.10","-","-"
"25-Oct-2021","     8008.95","     8014.65","     7812.80","     7891.05","-","-"
"25-Oct-2021","-","-","-","     7891.05","-","-"
"26-Oct-2021","     7915.40","     7999.95","     7893.95","     7988.05","-","-"
"26-Oct-2021","-","-","-","     7988.05","-","-"
"27-Oct-2021","     7989.55","     8026.75","     7910.10","     7926.70","-","-"
"27-Oct-2021","-","-","-","     7926.70","-","-"
"28-Oct-2021","     7871.10","     7927.45","     7731.25","     7755.30","-","-"
"28-Oct-2021","-","-","-","     7755.30","-","-"
"29-Oct-2021","     7711.55","     7797.70","     7645.25","     7704.30","-","-"
"29-Oct-2021","-","-","-","     7704.30","-","-"
